year,month,region,food.item,cost
2012,12,Canada,"Round steak, 1 kilogram",14.03
2013,1,Canada,"Round steak, 1 kilogram",14.19
2013,2,Canada,"Round steak, 1 kilogram",14.37
2013,3,Canada,"Round steak, 1 kilogram",14.29
2013,4,Canada,"Round steak, 1 kilogram",14.3
2013,5,Canada,"Round steak, 1 kilogram",14.38
2013,6,Canada,"Round steak, 1 kilogram",14.33
2013,7,Canada,"Round steak, 1 kilogram",14.37
2013,8,Canada,"Round steak, 1 kilogram",14.53
2013,9,Canada,"Round steak, 1 kilogram",14.34
2013,10,Canada,"Round steak, 1 kilogram",14.36
2013,11,Canada,"Round steak, 1 kilogram",14.77
2013,12,Canada,"Round steak, 1 kilogram",14.57
2014,1,Canada,"Round steak, 1 kilogram",14.59
2014,2,Canada,"Round steak, 1 kilogram",15.59
2014,3,Canada,"Round steak, 1 kilogram",15.73
2014,4,Canada,"Round steak, 1 kilogram",16.01
2014,5,Canada,"Round steak, 1 kilogram",16.39
2014,6,Canada,"Round steak, 1 kilogram",16.49
2014,7,Canada,"Round steak, 1 kilogram",16.36
2014,8,Canada,"Round steak, 1 kilogram",16.46
2014,9,Canada,"Round steak, 1 kilogram",17.57
2014,10,Canada,"Round steak, 1 kilogram",17.51
2014,11,Canada,"Round steak, 1 kilogram",17.71
2014,12,Canada,"Round steak, 1 kilogram",18.08
2015,1,Canada,"Round steak, 1 kilogram",18.34
2015,2,Canada,"Round steak, 1 kilogram",18.41
2015,3,Canada,"Round steak, 1 kilogram",18.57
2015,4,Canada,"Round steak, 1 kilogram",18.85
2015,5,Canada,"Round steak, 1 kilogram",18.87
2015,6,Canada,"Round steak, 1 kilogram",19.09
2015,7,Canada,"Round steak, 1 kilogram",19.12
2015,8,Canada,"Round steak, 1 kilogram",18.91
2015,9,Canada,"Round steak, 1 kilogram",19.05
2015,10,Canada,"Round steak, 1 kilogram",19.32
2015,11,Canada,"Round steak, 1 kilogram",19.1
2015,12,Canada,"Round steak, 1 kilogram",18.64
2016,1,Canada,"Round steak, 1 kilogram",18.76
2016,2,Canada,"Round steak, 1 kilogram",19.24
2016,3,Canada,"Round steak, 1 kilogram",19.7
2016,4,Canada,"Round steak, 1 kilogram",19.14
2016,5,Canada,"Round steak, 1 kilogram",19.05
2016,6,Canada,"Round steak, 1 kilogram",18.31
2016,7,Canada,"Round steak, 1 kilogram",18.39
2016,8,Canada,"Round steak, 1 kilogram",18.32
1995,1,Canada,"Sirloin steak, 1 kilogram",11.25
1995,2,Canada,"Sirloin steak, 1 kilogram",11.43
1995,3,Canada,"Sirloin steak, 1 kilogram",11.41
1995,4,Canada,"Sirloin steak, 1 kilogram",11.57
1995,5,Canada,"Sirloin steak, 1 kilogram",11.37
1995,6,Canada,"Sirloin steak, 1 kilogram",11.83
1995,7,Canada,"Sirloin steak, 1 kilogram",12.07
1995,8,Canada,"Sirloin steak, 1 kilogram",11.8
1995,9,Canada,"Sirloin steak, 1 kilogram",11.7
1995,10,Canada,"Sirloin steak, 1 kilogram",11.48
1995,11,Canada,"Sirloin steak, 1 kilogram",11.11
1995,12,Canada,"Sirloin steak, 1 kilogram",11.1
1996,1,Canada,"Sirloin steak, 1 kilogram",11.09
1996,2,Canada,"Sirloin steak, 1 kilogram",11.36
1996,3,Canada,"Sirloin steak, 1 kilogram",10.95
1996,4,Canada,"Sirloin steak, 1 kilogram",10.95
1996,5,Canada,"Sirloin steak, 1 kilogram",10.74
1996,6,Canada,"Sirloin steak, 1 kilogram",11.04
1996,7,Canada,"Sirloin steak, 1 kilogram",10.59
1996,8,Canada,"Sirloin steak, 1 kilogram",10.74
1996,9,Canada,"Sirloin steak, 1 kilogram",10.25
1996,10,Canada,"Sirloin steak, 1 kilogram",10.54
1996,11,Canada,"Sirloin steak, 1 kilogram",10.51
1996,12,Canada,"Sirloin steak, 1 kilogram",10.52
1997,1,Canada,"Sirloin steak, 1 kilogram",10.67
1997,2,Canada,"Sirloin steak, 1 kilogram",10.62
1997,3,Canada,"Sirloin steak, 1 kilogram",10.67
1997,4,Canada,"Sirloin steak, 1 kilogram",10.84
1997,5,Canada,"Sirloin steak, 1 kilogram",10.75
1997,6,Canada,"Sirloin steak, 1 kilogram",11.14
1997,7,Canada,"Sirloin steak, 1 kilogram",10.86
1997,8,Canada,"Sirloin steak, 1 kilogram",11.28
1997,9,Canada,"Sirloin steak, 1 kilogram",11.11
1997,10,Canada,"Sirloin steak, 1 kilogram",10.43
1997,11,Canada,"Sirloin steak, 1 kilogram",10.61
1997,12,Canada,"Sirloin steak, 1 kilogram",10.83
1998,1,Canada,"Sirloin steak, 1 kilogram",10.77
1998,2,Canada,"Sirloin steak, 1 kilogram",10.68
1998,3,Canada,"Sirloin steak, 1 kilogram",10.44
1998,4,Canada,"Sirloin steak, 1 kilogram",10.45
1998,5,Canada,"Sirloin steak, 1 kilogram",10.65
1998,6,Canada,"Sirloin steak, 1 kilogram",11.3
1998,7,Canada,"Sirloin steak, 1 kilogram",11.03
1998,8,Canada,"Sirloin steak, 1 kilogram",11.14
1998,9,Canada,"Sirloin steak, 1 kilogram",10.85
1998,10,Canada,"Sirloin steak, 1 kilogram",10.35
1998,11,Canada,"Sirloin steak, 1 kilogram",10.54
1998,12,Canada,"Sirloin steak, 1 kilogram",10.47
1999,1,Canada,"Sirloin steak, 1 kilogram",10.7
1999,2,Canada,"Sirloin steak, 1 kilogram",10.17
1999,3,Canada,"Sirloin steak, 1 kilogram",10.6
1999,4,Canada,"Sirloin steak, 1 kilogram",10.24
1999,5,Canada,"Sirloin steak, 1 kilogram",10.82
1999,6,Canada,"Sirloin steak, 1 kilogram",11.43
1999,7,Canada,"Sirloin steak, 1 kilogram",11.38
1999,8,Canada,"Sirloin steak, 1 kilogram",11.25
1999,9,Canada,"Sirloin steak, 1 kilogram",11.22
1999,10,Canada,"Sirloin steak, 1 kilogram",10.94
1999,11,Canada,"Sirloin steak, 1 kilogram",10.5
1999,12,Canada,"Sirloin steak, 1 kilogram",10.54
2000,1,Canada,"Sirloin steak, 1 kilogram",11.09
2000,2,Canada,"Sirloin steak, 1 kilogram",11.23
2000,3,Canada,"Sirloin steak, 1 kilogram",11.17
2000,4,Canada,"Sirloin steak, 1 kilogram",11.88
2000,5,Canada,"Sirloin steak, 1 kilogram",12.16
2000,6,Canada,"Sirloin steak, 1 kilogram",12.16
2000,7,Canada,"Sirloin steak, 1 kilogram",12.27
2000,8,Canada,"Sirloin steak, 1 kilogram",12.57
2000,9,Canada,"Sirloin steak, 1 kilogram",12.8
2000,10,Canada,"Sirloin steak, 1 kilogram",11.97
2000,11,Canada,"Sirloin steak, 1 kilogram",11.73
2000,12,Canada,"Sirloin steak, 1 kilogram",12.32
2001,1,Canada,"Sirloin steak, 1 kilogram",12.77
2001,2,Canada,"Sirloin steak, 1 kilogram",13.05
2001,3,Canada,"Sirloin steak, 1 kilogram",13.5
2001,4,Canada,"Sirloin steak, 1 kilogram",13.87
2001,5,Canada,"Sirloin steak, 1 kilogram",14.95
2001,6,Canada,"Sirloin steak, 1 kilogram",14.92
2001,7,Canada,"Sirloin steak, 1 kilogram",14.33
2001,8,Canada,"Sirloin steak, 1 kilogram",14.21
2001,9,Canada,"Sirloin steak, 1 kilogram",14.2
2001,10,Canada,"Sirloin steak, 1 kilogram",13.3
2001,11,Canada,"Sirloin steak, 1 kilogram",13.09
2001,12,Canada,"Sirloin steak, 1 kilogram",13.21
2002,1,Canada,"Sirloin steak, 1 kilogram",13.53
2002,2,Canada,"Sirloin steak, 1 kilogram",13.56
2002,3,Canada,"Sirloin steak, 1 kilogram",14.15
2002,4,Canada,"Sirloin steak, 1 kilogram",14.64
2002,5,Canada,"Sirloin steak, 1 kilogram",14.24
2002,6,Canada,"Sirloin steak, 1 kilogram",14.09
2002,7,Canada,"Sirloin steak, 1 kilogram",14.09
2002,8,Canada,"Sirloin steak, 1 kilogram",13.94
2002,9,Canada,"Sirloin steak, 1 kilogram",14.08
2002,10,Canada,"Sirloin steak, 1 kilogram",13.92
2002,11,Canada,"Sirloin steak, 1 kilogram",13.53
2002,12,Canada,"Sirloin steak, 1 kilogram",13.43
2003,1,Canada,"Sirloin steak, 1 kilogram",13.76
2003,2,Canada,"Sirloin steak, 1 kilogram",14.29
2003,3,Canada,"Sirloin steak, 1 kilogram",14.26
2003,4,Canada,"Sirloin steak, 1 kilogram",14.14
2003,5,Canada,"Sirloin steak, 1 kilogram",14.16
2003,6,Canada,"Sirloin steak, 1 kilogram",14.65
2003,7,Canada,"Sirloin steak, 1 kilogram",13.8
2003,8,Canada,"Sirloin steak, 1 kilogram",14.31
2003,9,Canada,"Sirloin steak, 1 kilogram",13.79
2003,10,Canada,"Sirloin steak, 1 kilogram",13.36
2003,11,Canada,"Sirloin steak, 1 kilogram",14.1
2003,12,Canada,"Sirloin steak, 1 kilogram",13.86
2004,1,Canada,"Sirloin steak, 1 kilogram",14.11
2004,2,Canada,"Sirloin steak, 1 kilogram",13.37
2004,3,Canada,"Sirloin steak, 1 kilogram",13.8
2004,4,Canada,"Sirloin steak, 1 kilogram",14.01
2004,5,Canada,"Sirloin steak, 1 kilogram",15.31
2004,6,Canada,"Sirloin steak, 1 kilogram",16.53
2004,7,Canada,"Sirloin steak, 1 kilogram",16.62
2004,8,Canada,"Sirloin steak, 1 kilogram",16.24
2004,9,Canada,"Sirloin steak, 1 kilogram",16.07
2004,10,Canada,"Sirloin steak, 1 kilogram",15.31
2004,11,Canada,"Sirloin steak, 1 kilogram",14.67
2004,12,Canada,"Sirloin steak, 1 kilogram",14.83
2005,1,Canada,"Sirloin steak, 1 kilogram",15.2
2005,2,Canada,"Sirloin steak, 1 kilogram",14.75
2005,3,Canada,"Sirloin steak, 1 kilogram",14.82
2005,4,Canada,"Sirloin steak, 1 kilogram",14.86
2005,5,Canada,"Sirloin steak, 1 kilogram",15.13
2005,6,Canada,"Sirloin steak, 1 kilogram",15.38
2005,7,Canada,"Sirloin steak, 1 kilogram",14.44
2005,8,Canada,"Sirloin steak, 1 kilogram",14.81
2005,9,Canada,"Sirloin steak, 1 kilogram",14.74
2005,10,Canada,"Sirloin steak, 1 kilogram",14.8
2005,11,Canada,"Sirloin steak, 1 kilogram",14.85
2005,12,Canada,"Sirloin steak, 1 kilogram",14.28
2006,1,Canada,"Sirloin steak, 1 kilogram",14.47
2006,2,Canada,"Sirloin steak, 1 kilogram",14.44
2006,3,Canada,"Sirloin steak, 1 kilogram",14.1
2006,4,Canada,"Sirloin steak, 1 kilogram",14.45
2006,5,Canada,"Sirloin steak, 1 kilogram",14.7
2006,6,Canada,"Sirloin steak, 1 kilogram",15.1
2006,7,Canada,"Sirloin steak, 1 kilogram",15.53
2006,8,Canada,"Sirloin steak, 1 kilogram",15.61
2006,9,Canada,"Sirloin steak, 1 kilogram",15.09
2006,10,Canada,"Sirloin steak, 1 kilogram",15.42
2006,11,Canada,"Sirloin steak, 1 kilogram",15.57
2006,12,Canada,"Sirloin steak, 1 kilogram",14.8
2007,1,Canada,"Sirloin steak, 1 kilogram",14.45
2007,2,Canada,"Sirloin steak, 1 kilogram",15.16
2007,3,Canada,"Sirloin steak, 1 kilogram",15.5
2007,4,Canada,"Sirloin steak, 1 kilogram",16.1
2007,5,Canada,"Sirloin steak, 1 kilogram",15.96
2007,6,Canada,"Sirloin steak, 1 kilogram",16.15
2007,7,Canada,"Sirloin steak, 1 kilogram",15.83
2007,8,Canada,"Sirloin steak, 1 kilogram",15.24
2007,9,Canada,"Sirloin steak, 1 kilogram",15.31
2007,10,Canada,"Sirloin steak, 1 kilogram",15.22
2007,11,Canada,"Sirloin steak, 1 kilogram",14.61
2007,12,Canada,"Sirloin steak, 1 kilogram",15.15
2008,1,Canada,"Sirloin steak, 1 kilogram",15.07
2008,2,Canada,"Sirloin steak, 1 kilogram",15.32
2008,3,Canada,"Sirloin steak, 1 kilogram",15.06
2008,4,Canada,"Sirloin steak, 1 kilogram",15.31
2008,5,Canada,"Sirloin steak, 1 kilogram",14.48
2008,6,Canada,"Sirloin steak, 1 kilogram",15.04
2008,7,Canada,"Sirloin steak, 1 kilogram",15.08
2008,8,Canada,"Sirloin steak, 1 kilogram",15.69
2008,9,Canada,"Sirloin steak, 1 kilogram",16.23
2008,10,Canada,"Sirloin steak, 1 kilogram",15.37
2008,11,Canada,"Sirloin steak, 1 kilogram",15.73
2008,12,Canada,"Sirloin steak, 1 kilogram",15.45
2009,1,Canada,"Sirloin steak, 1 kilogram",15.02
2009,2,Canada,"Sirloin steak, 1 kilogram",15.73
2009,3,Canada,"Sirloin steak, 1 kilogram",15.33
2009,4,Canada,"Sirloin steak, 1 kilogram",16.02
2009,5,Canada,"Sirloin steak, 1 kilogram",16.11
2009,6,Canada,"Sirloin steak, 1 kilogram",16.8
2009,7,Canada,"Sirloin steak, 1 kilogram",16.4
2009,8,Canada,"Sirloin steak, 1 kilogram",16.28
2009,9,Canada,"Sirloin steak, 1 kilogram",16.55
2009,10,Canada,"Sirloin steak, 1 kilogram",16.53
2009,11,Canada,"Sirloin steak, 1 kilogram",15.96
2009,12,Canada,"Sirloin steak, 1 kilogram",15.73
2010,1,Canada,"Sirloin steak, 1 kilogram",15.55
2010,2,Canada,"Sirloin steak, 1 kilogram",14.6
2010,3,Canada,"Sirloin steak, 1 kilogram",15.33
2010,4,Canada,"Sirloin steak, 1 kilogram",15.36
2010,5,Canada,"Sirloin steak, 1 kilogram",15.29
2010,6,Canada,"Sirloin steak, 1 kilogram",15.15
2010,7,Canada,"Sirloin steak, 1 kilogram",15.17
2010,8,Canada,"Sirloin steak, 1 kilogram",14.88
2010,9,Canada,"Sirloin steak, 1 kilogram",15.44
2010,10,Canada,"Sirloin steak, 1 kilogram",15.74
2010,11,Canada,"Sirloin steak, 1 kilogram",15.49
2010,12,Canada,"Sirloin steak, 1 kilogram",15.32
2011,1,Canada,"Sirloin steak, 1 kilogram",15.42
2011,2,Canada,"Sirloin steak, 1 kilogram",15.56
2011,3,Canada,"Sirloin steak, 1 kilogram",15.54
2011,4,Canada,"Sirloin steak, 1 kilogram",16.15
2011,5,Canada,"Sirloin steak, 1 kilogram",16.13
2011,6,Canada,"Sirloin steak, 1 kilogram",16.37
2011,7,Canada,"Sirloin steak, 1 kilogram",15.9
2011,8,Canada,"Sirloin steak, 1 kilogram",16.28
2011,9,Canada,"Sirloin steak, 1 kilogram",16.66
2011,10,Canada,"Sirloin steak, 1 kilogram",16.93
2011,11,Canada,"Sirloin steak, 1 kilogram",16.39
2011,12,Canada,"Sirloin steak, 1 kilogram",16.66
2012,1,Canada,"Sirloin steak, 1 kilogram",17.22
2012,2,Canada,"Sirloin steak, 1 kilogram",17.17
2012,3,Canada,"Sirloin steak, 1 kilogram",17.43
2012,4,Canada,"Sirloin steak, 1 kilogram",17.67
2012,5,Canada,"Sirloin steak, 1 kilogram",17.23
2012,6,Canada,"Sirloin steak, 1 kilogram",17.13
2012,7,Canada,"Sirloin steak, 1 kilogram",17.31
2012,8,Canada,"Sirloin steak, 1 kilogram",17.76
2012,9,Canada,"Sirloin steak, 1 kilogram",17.52
2012,10,Canada,"Sirloin steak, 1 kilogram",17.39
2012,11,Canada,"Sirloin steak, 1 kilogram",16.45
2012,12,Canada,"Sirloin steak, 1 kilogram",17.23
2013,1,Canada,"Sirloin steak, 1 kilogram",17.71
2013,2,Canada,"Sirloin steak, 1 kilogram",18.07
2013,3,Canada,"Sirloin steak, 1 kilogram",17.69
2013,4,Canada,"Sirloin steak, 1 kilogram",17.96
2013,5,Canada,"Sirloin steak, 1 kilogram",16.81
2013,6,Canada,"Sirloin steak, 1 kilogram",17.34
2013,7,Canada,"Sirloin steak, 1 kilogram",17.54
2013,8,Canada,"Sirloin steak, 1 kilogram",17.4
2013,9,Canada,"Sirloin steak, 1 kilogram",17.93
2013,10,Canada,"Sirloin steak, 1 kilogram",18.27
2013,11,Canada,"Sirloin steak, 1 kilogram",18.34
2013,12,Canada,"Sirloin steak, 1 kilogram",18.21
2014,1,Canada,"Sirloin steak, 1 kilogram",18.28
2014,2,Canada,"Sirloin steak, 1 kilogram",19.06
2014,3,Canada,"Sirloin steak, 1 kilogram",19.54
2014,4,Canada,"Sirloin steak, 1 kilogram",20.12
2014,5,Canada,"Sirloin steak, 1 kilogram",19.62
2014,6,Canada,"Sirloin steak, 1 kilogram",19.86
2014,7,Canada,"Sirloin steak, 1 kilogram",20.46
2014,8,Canada,"Sirloin steak, 1 kilogram",20.67
2014,9,Canada,"Sirloin steak, 1 kilogram",21.43
2014,10,Canada,"Sirloin steak, 1 kilogram",21.4
2014,11,Canada,"Sirloin steak, 1 kilogram",21.29
